reflectance
1
1
1
1
1
1
1
1551
1568
1526
1533
1558
1609
1472
1423
1452
1317
1343
1272
1237
1208
1142
1084
1085
1024
1062
1037
981
987
985
937
967
935
862
863
789
652
732
809
776
521
766
784
739
701
615
557
605
654
666
668
642
592
491
408
213
322
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
590
413
478
532
695
890
645
796
885
850
924
949
952
910
852
825
794
725
635
468
146
44
116
143
260
450
498
473
446
453
554
596
606
588
558
485
544
565
516
435
336
230
199
86
14
9
1
1
1
1
12
17
1
1
54
31
19
109
246
325
383
426
470
488
463
428
429
435
367
358
419
418
394
381
420
408
366
360
350
341
307
284
254
244
214
169
128
79
4
1
1
1
30
32
9
3
13
20
3
1
1
1
1
1
2
43
89
68
1
1
93
149
115
57
81
120
117
133
160
154
151
149
155
144
127
117
134
131
120
130
137
134
105
94
107
108
110
100
92
88
94
91
50
50
58
47
10
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
