reflectance
1
1
1
1
1
1
1
1445
1513
1510
1539
1579
1606
1507
1428
1437
1332
1347
1350
1338
1307
1243
1197
1183
1151
1144
1100
1053
1052
1028
972
981
985
901
965
1070
982
1188
1383
1301
916
1355
1363
1281
1241
1048
990
1086
1222
1214
1206
1169
1103
861
710
658
631
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1619
1361
459
413
663
1117
1474
1817
1885
1902
2014
1986
1939
1915
1783
1697
1643
1574
1360
972
360
145
222
229
540
910
990
988
1049
1014
1140
1243
1244
1244
1160
1021
1109
1135
1011
827
663
447
306
99
2
2
1
1
1
1
1
1
1
14
53
27
54
165
374
468
518
564
614
623
627
567
602
636
595
595
642
633
585
584
574
568
544
525
497
461
431
407
375
368
315
246
156
88
27
1
43
45
11
10
1
2
1
1
2
2
1
1
1
2
10
57
85
69
1
5
98
171
129
71
99
130
155
158
173
173
166
172
176
168
135
137
155
146
125
138
163
153
121
120
115
112
102
90
105
88
85
76
77
88
55
53
50
72
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
