reflectance
1
1
1
1
1
1
1
1343
1274
1275
1283
1277
1291
1168
1084
1077
957
971
925
904
859
792
749
701
657
651
584
561
551
516
463
453
456
413
452
522
524
637
732
718
495
699
729
674
679
569
515
567
652
634
643
605
559
455
348
343
324
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1902
1445
553
547
557
837
862
1043
1041
1014
1153
1121
1049
1019
934
869
830
790
720
533
228
111
99
123
288
464
482
465
430
462
561
578
630
597
567
500
559
570
505
393
319
224
122
11
6
13
12
17
1
1
1
1
1
1
6
1
16
35
83
113
167
188
196
203
211
191
201
220
182
198
233
239
218
217
196
195
185
186
158
153
138
133
112
103
102
91
64
41
10
8
20
18
17
20
1
2
1
2
1
1
1
1
1
2
4
15
21
12
1
7
23
26
11
1
11
32
39
36
41
25
4
8
36
40
6
3
31
32
10
18
57
51
30
26
31
28
11
19
26
26
28
19
24
29
21
34
32
64
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
