Degrees of motion,Moving sections,Example
Zero (0),None,Viewing wildlife through a remote camera trap mounted on a tree
One (1),Lens elements,Adjusting the zoom of a camera mounted on a stationary object
One (1),Camera,Looking through a floor telescope at various constellations
One (1),Platform,Looking through handheld binoculars on a walk in nature
Two (2),Lens elements + Camera,Using a wall-mounted security camera to look around a scene
Two (2),Lens elements + Platform,Taking video of forest canopy with an RPAS with a zoom-enabled camera
Two (2),Camera + Platform,Using a scanning camera on an airplane or satellite to capture aerial imagery
Three (3),Lens elements + Camera + Platform,"Using a camera to film a moving object, such as an athlete on a sports field"
