,clstr_id,samp_id,tsa_no,mgmt_unit,species_class,meas_dt,utm_zone,utm_easting,utm_northing,bcalb_x,bcalb_y,elev,baf_pm,baha_L,stemsha_L,wsvha_L,nmvha_L,lead_si,lead_htop,bh_stand_age,tot_stand_age
36,0403-0013-DO1,0403_0013_VRI,40,TSA40_FortSt.John,Poplar,2008-10-04,10,636588,6299873,1318956.039,1326446.871,687,6.25,5,95.26171337,40.1680157,35.55992854,16.76341797,16.06,46.88864912,50.5405452
37,0403-0014-DO1,0403_0014_VRI,40,TSA40_FortSt.John,Poplar,2008-10-04,10,577142,6312988,1259105.944,1337119.762,817,9,16.2,3628.914949,85.90583805,19.28456052,17.47339844,11.86,31,36.09853864
38,0403-0014-DO1,0403_0014_VRI,40,TSA40_FortSt.John,Poplar,2008-10-04,10,577142,6312988,1259105.944,1337119.762,817,9,10.8,1264.985319,64.86812843,19.28456052,14.52043929,12.8,31,36.09853864
39,0403-0014-DO1,0403_0014_VRI,40,TSA40_FortSt.John,Poplar,2008-10-04,10,577142,6312988,1259105.944,1337119.762,817,9,3.6,236.2763239,23.95134444,16.42558618,14.52043929,12.8,31,36.09853864
40,0403-0014-DO1,0403_0014_VRI,40,TSA40_FortSt.John,Poplar,2008-10-04,10,577142,6312988,1259105.944,1337119.762,817,9,0,0,0,0,17.47339844,11.86,31,36.09853864
41,0403-0018-DO1,0403_0018_VRI,40,TSA40_FortSt.John,Poplar,2008-09-25,10,608878,6341600,1289578.581,1367076.957,768,7,46.2,3069.318184,350.0106938,251.7122089,13.28922119,20.2,114.715676,121.1257953
42,0403-0018-DO1,0403_0018_VRI,40,TSA40_FortSt.John,Poplar,2008-09-25,10,608878,6341600,1289578.581,1367076.957,768,7,43.4,1992.407277,341.5946902,251.7122089,13.28922119,20.2,114.715676,121.1257953
43,0403-0018-DO1,0403_0018_VRI,40,TSA40_FortSt.John,Poplar,2008-09-25,10,608878,6341600,1289578.581,1367076.957,768,7,36.4,838.7735804,311.659191,251.7122089,13.28922119,20.2,114.715676,121.1257953
44,0403-0018-DO1,0403_0018_VRI,40,TSA40_FortSt.John,Poplar,2008-09-25,10,608878,6341600,1289578.581,1367076.957,768,7,32.2,556.1113735,290.6165805,239.3804783,13.28922119,20.2,114.715676,121.1257953
45,0403-0019-DO1,0403_0019_VRI,40,TSA40_FortSt.John,Poplar,2008-10-07,10,675173,6361080,1354929.046,1389282.318,807,6.25,23.75,3554.354299,139.2731147,50.08898104,18.13098958,17.43333333,48,52.28340035
46,0403-0019-DO1,0403_0019_VRI,40,TSA40_FortSt.John,Poplar,2008-10-07,10,675173,6361080,1354929.046,1389282.318,807,6.25,21.25,2253.022674,130.5171839,50.08898104,18.13098958,17.43333333,48,52.28340035
47,0403-0019-DO1,0403_0019_VRI,40,TSA40_FortSt.John,Poplar,2008-10-07,10,675173,6361080,1354929.046,1389282.318,807,6.25,8.75,443.946009,65.0429224,46.6064091,18.13098958,17.43333333,48,52.28340035
