PRCDDA,Province,Dissemination area (DA) Population,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores,Economic dependency Quintiles,Economic dependency Scores,Residential instability Quintiles,Residential instability Scores
59010123,British Columbia,434,1,-0.829,4,0.034,4,0.362,1,-0.805
59010124,British Columbia,559,1,-0.934,3,-0.162,2,-0.576,1,-0.927
59010125,British Columbia,522,2,-0.679,5,0.547,4,0.114,1,-0.976
59010126,British Columbia,671,2,-0.767,3,-0.361,5,0.815,3,-0.159
59010127,British Columbia,319,1,-0.848,5,0.706,1,-0.945,4,0.068
59010128,British Columbia,545,3,-0.526,2,-0.528,4,0.108,4,0.118
59010129,British Columbia,427,3,-0.486,4,-0.060,3,-0.174,4,0.283
59010130,British Columbia,463,1,-0.877,1,-0.664,2,-0.375,5,0.766
59010131,British Columbia,436,2,-0.646,3,-0.319,2,-0.467,4,0.156
59010132,British Columbia,611,2,-0.704,2,-0.618,1,-0.833,2,-0.604
59010133,British Columbia,734,2,-0.736,1,-0.789,2,-0.440,2,-0.673
59010134,British Columbia,607,1,-0.849,2,-0.494,4,0.501,2,-0.528
59010135,British Columbia,439,1,-0.833,1,-0.710,5,0.872,2,-0.621
59010136,British Columbia,140,1,-0.946,5,2.449,4,0.118,2,-0.555
59010137,British Columbia,464,1,-0.796,1,-0.927,5,0.857,1,-0.836
59010138,British Columbia,540,1,-0.914,2,-0.564,4,0.430,2,-0.611
59010139,British Columbia,683,1,-0.865,4,-0.089,4,0.234,2,-0.675
59010140,British Columbia,612,2,-0.574,2,-0.515,4,0.297,3,-0.402
59010141,British Columbia,367,1,-0.805,3,-0.163,5,0.623,3,-0.366
59010142,British Columbia,455,2,-0.765,3,-0.325,4,0.396,2,-0.584
59010143,British Columbia,594,1,-0.812,1,-0.673,3,-0.126,2,-0.733
59010146,British Columbia,170,1,-1.272,5,2.644,1,-1.123,1,-1.084
59010149,British Columbia,493,1,-0.942,3,-0.194,4,0.312,1,-0.751
59010150,British Columbia,548,1,-0.900,3,-0.279,4,0.278,2,-0.615
59010151,British Columbia,462,1,-0.895,2,-0.479,5,1.684,3,-0.206
59010152,British Columbia,739,1,-0.896,2,-0.374,4,0.469,2,-0.687
59010153,British Columbia,745,1,-0.890,3,-0.230,3,-0.094,4,-0.045
59010154,British Columbia,438,1,-0.939,4,0.151,4,0.380,3,-0.289
59010155,British Columbia,552,1,-0.871,3,-0.126,3,-0.300,3,-0.153
59010156,British Columbia,1087,1,-0.856,2,-0.532,4,0.501,4,0.603
59010157,British Columbia,445,1,-0.961,4,-0.066,3,-0.314,4,-0.055
59010158,British Columbia,473,2,-0.594,3,-0.178,3,-0.187,4,0.270
59010159,British Columbia,391,2,-0.719,3,-0.357,4,0.534,4,0.144
59010160,British Columbia,412,1,-0.817,3,-0.132,2,-0.499,2,-0.508
59010161,British Columbia,469,1,-0.902,4,0.129,3,-0.302,3,-0.144
59010162,British Columbia,476,1,-0.792,1,-0.756,3,0.033,2,-0.662
59010163,British Columbia,430,1,-0.945,3,-0.150,4,0.107,2,-0.647
59010164,British Columbia,1080,1,-0.820,3,-0.329,4,0.233,2,-0.539
59010165,British Columbia,764,1,-0.954,2,-0.491,3,-0.341,1,-0.971
59010166,British Columbia,406,1,-0.859,5,0.555,2,-0.634,4,-0.115
59010167,British Columbia,488,1,-0.859,3,-0.239,3,-0.291,3,-0.317
59010168,British Columbia,396,1,-0.840,4,0.245,2,-0.688,2,-0.615
59010169,British Columbia,581,2,-0.671,1,-0.711,2,-0.563,2,-0.708
59010170,British Columbia,476,1,-0.909,1,-0.823,4,0.272,1,-1.114
59010171,British Columbia,570,1,-0.860,1,-0.719,3,-0.231,1,-1.016
59010172,British Columbia,356,1,-0.911,3,-0.283,5,1.294,2,-0.713
59010173,British Columbia,377,1,-0.802,5,0.526,3,-0.337,4,0.499
59010174,British Columbia,396,1,-0.958,3,-0.317,2,-0.441,3,-0.452
59010175,British Columbia,380,1,-0.841,2,-0.438,4,0.280,1,-1.092
59010176,British Columbia,1116,1,-0.843,2,-0.391,3,-0.125,2,-0.720
59010177,British Columbia,503,1,-0.842,1,-0.681,3,-0.324,3,-0.437
59010178,British Columbia,560,2,-0.665,3,-0.350,3,-0.016,2,-0.648
59010179,British Columbia,492,1,-0.840,4,0.147,3,-0.086,1,-0.809
59010180,British Columbia,727,1,-0.820,1,-0.675,2,-0.521,1,-1.007
59010181,British Columbia,651,2,-0.639,1,-0.918,3,-0.049,1,-1.121
59010182,British Columbia,477,1,-0.888,2,-0.422,4,0.184,2,-0.649
59010183,British Columbia,585,3,-0.542,4,0.041,5,1.083,4,0.132
59010184,British Columbia,469,2,-0.770,5,0.489,3,-0.171,4,0.037
59010185,British Columbia,518,2,-0.607,5,0.690,5,0.803,5,1.970
59010186,British Columbia,479,2,-0.613,5,0.529,1,-0.895,5,1.566
59010187,British Columbia,422,3,-0.531,4,-0.106,1,-0.746,4,0.097
59010188,British Columbia,318,3,-0.156,5,0.320,5,0.766,5,2.205
59010189,British Columbia,301,3,-0.376,5,1.890,2,-0.722,5,2.650
59010190,British Columbia,470,3,-0.529,5,0.842,4,0.168,4,0.459
59010191,British Columbia,338,1,-1.001,4,-0.046,4,0.080,5,1.276
59010192,British Columbia,440,2,-0.648,3,-0.116,3,-0.213,4,0.307
59010193,British Columbia,449,1,-0.777,5,0.610,3,-0.317,4,-0.076
59010194,British Columbia,458,2,-0.569,5,0.351,1,-0.989,4,-0.094
59010195,British Columbia,453,1,-0.946,2,-0.418,3,-0.288,2,-0.655
59010196,British Columbia,463,1,-0.986,3,-0.170,4,0.061,3,-0.196
59010197,British Columbia,440,1,-0.880,3,-0.277,1,-0.786,4,0.312
59010198,British Columbia,478,3,-0.483,5,0.370,5,1.353,5,2.610
59010199,British Columbia,328,2,-0.678,5,0.793,3,-0.012,4,0.270
59010200,British Columbia,652,1,-0.820,2,-0.430,5,1.116,2,-0.703
59010202,British Columbia,958,1,-0.780,2,-0.563,3,-0.036,2,-0.619
59010204,British Columbia,493,1,-0.947,3,-0.295,4,0.159,2,-0.531
59010205,British Columbia,616,1,-0.865,2,-0.535,3,-0.177,1,-1.201
59010206,British Columbia,538,2,-0.727,3,-0.156,4,0.196,1,-1.027
59010207,British Columbia,1019,1,-0.844,1,-0.914,3,-0.136,1,-1.185
59010208,British Columbia,470,1,-0.917,3,-0.284,5,0.822,2,-0.546
59010209,British Columbia,445,1,-0.924,3,-0.320,3,-0.274,1,-0.787
59010210,British Columbia,418,1,-1.001,2,-0.590,4,0.242,1,-1.136
59010211,British Columbia,368,1,-0.980,3,-0.324,5,1.964,1,-1.267
59010212,British Columbia,489,1,-1.030,2,-0.616,4,0.144,2,-0.709
59010213,British Columbia,604,1,-0.912,5,0.489,4,0.113,3,-0.411
59010214,British Columbia,75,1,-0.858,5,2.884,4,0.157,1,-0.890
59010217,British Columbia,470,2,-0.636,3,-0.156,3,-0.290,3,-0.344
59010218,British Columbia,640,2,-0.610,2,-0.618,1,-0.839,4,0.410
59010219,British Columbia,370,2,-0.736,2,-0.571,1,-1.133,5,1.071
59010220,British Columbia,524,3,-0.293,2,-0.435,1,-0.940,4,0.272
59010221,British Columbia,414,1,-0.876,1,-0.751,3,-0.147,2,-0.642
59010222,British Columbia,527,2,-0.620,2,-0.530,1,-0.770,1,-0.844
59010223,British Columbia,564,3,-0.212,1,-0.646,1,-0.792,5,1.420
59010224,British Columbia,413,2,-0.672,2,-0.586,1,-1.149,3,-0.453
59010226,British Columbia,436,1,-0.905,1,-0.965,1,-1.287,1,-0.866
59010227,British Columbia,573,1,-0.980,3,-0.309,1,-0.845,2,-0.641
59010228,British Columbia,381,1,-0.919,3,-0.333,5,1.889,4,0.340
59010229,British Columbia,466,3,-0.477,1,-0.915,1,-0.828,3,-0.322
59010230,British Columbia,443,2,-0.640,4,-0.023,3,-0.099,4,-0.058
59010231,British Columbia,308,2,-0.577,2,-0.502,1,-1.105,4,0.276
59010232,British Columbia,751,1,-0.996,3,-0.289,3,-0.275,3,-0.250
59010233,British Columbia,862,3,-0.369,1,-0.692,1,-0.904,3,-0.421
59010234,British Columbia,567,1,-0.922,3,-0.291,1,-1.265,4,0.185
59010238,British Columbia,429,1,-0.881,2,-0.579,3,-0.314,3,-0.313
59010239,British Columbia,424,2,-0.771,3,-0.293,1,-0.772,3,-0.253
59010240,British Columbia,388,1,-0.808,1,-0.792,2,-0.615,3,-0.335
59010241,British Columbia,600,1,-0.825,2,-0.461,2,-0.371,2,-0.514
59010242,British Columbia,658,1,-1.023,3,-0.137,1,-0.788,2,-0.598
59010244,British Columbia,514,1,-0.862,2,-0.601,4,0.286,2,-0.668
59010245,British Columbia,1044,1,-0.905,2,-0.610,5,1.801,3,-0.163
59010248,British Columbia,482,1,-1.019,4,0.002,3,0.009,1,-0.943
59010254,British Columbia,466,1,-0.911,2,-0.611,3,-0.053,2,-0.673
59010255,British Columbia,1210,2,-0.670,2,-0.543,1,-0.745,4,-0.080
59030128,British Columbia,424,2,-0.639,4,0.225,5,1.266,1,-0.753
59030129,British Columbia,414,1,-0.934,2,-0.405,5,0.908,2,-0.580
59030130,British Columbia,530,2,-0.754,5,0.966,5,0.871,4,0.525
59030131,British Columbia,691,1,-0.971,4,0.034,4,0.178,3,-0.389
59030132,British Columbia,526,2,-0.758,5,0.443,3,-0.202,2,-0.623
59030134,British Columbia,448,1,-0.824,5,0.507,5,1.240,2,-0.535
59030135,British Columbia,433,3,-0.531,4,0.156,5,1.417,4,0.312
59030136,British Columbia,161,3,-0.417,5,0.386,5,1.870,4,0.168
59030137,British Columbia,634,3,-0.470,5,0.291,3,-0.051,3,-0.480
59030138,British Columbia,245,1,-0.774,4,0.187,5,0.767,4,-0.029
59030139,British Columbia,437,2,-0.617,4,0.078,5,0.625,2,-0.511
59030140,British Columbia,361,2,-0.644,4,-0.029,5,0.981,3,-0.414
59030141,British Columbia,615,3,-0.392,5,1.039,3,0.010,4,-0.110
59030142,British Columbia,380,1,-0.975,1,-0.772,4,0.236,2,-0.587
59030143,British Columbia,493,2,-0.735,2,-0.581,5,0.791,3,-0.205
59030144,British Columbia,622,2,-0.682,3,-0.154,5,1.080,5,0.794
59030145,British Columbia,605,3,-0.457,3,-0.184,2,-0.611,4,0.289
59030146,British Columbia,614,1,-0.797,3,-0.242,4,0.291,4,0.238
59030147,British Columbia,458,3,-0.332,3,-0.204,2,-0.372,4,0.474
59030148,British Columbia,526,1,-0.904,2,-0.477,4,0.100,4,0.538
59030149,British Columbia,443,2,-0.666,5,1.110,4,0.311,5,1.439
59030150,British Columbia,470,2,-0.711,5,0.332,4,0.377,5,1.103
59030151,British Columbia,488,2,-0.647,4,0.180,1,-1.381,5,1.779
59030152,British Columbia,590,2,-0.581,5,0.695,1,-1.063,4,0.646
59030153,British Columbia,468,2,-0.650,2,-0.412,3,-0.139,4,0.034
59030154,British Columbia,540,3,-0.373,4,0.001,1,-0.967,3,-0.170
59030155,British Columbia,480,2,-0.758,4,-0.096,3,-0.179,3,-0.482
59030156,British Columbia,647,1,-0.927,3,-0.224,3,-0.263,4,0.295
59030157,British Columbia,624,2,-0.678,4,0.102,3,-0.011,4,0.023
59030158,British Columbia,521,3,-0.525,5,0.821,2,-0.702,5,1.454
59030159,British Columbia,436,1,-0.797,4,0.123,1,-1.064,4,0.103
59030160,British Columbia,632,1,-0.785,2,-0.466,1,-0.871,3,-0.200
59030161,British Columbia,532,2,-0.765,3,-0.315,3,0.039,3,-0.138
59030162,British Columbia,494,2,-0.598,2,-0.573,2,-0.415,3,-0.298
59030163,British Columbia,799,2,-0.742,4,0.208,2,-0.529,3,-0.335
59030164,British Columbia,498,2,-0.705,4,-0.045,4,0.215,4,0.645
59030165,British Columbia,346,1,-0.823,1,-0.875,4,0.134,2,-0.572
59030166,British Columbia,718,1,-0.877,2,-0.431,2,-0.635,2,-0.590
59030167,British Columbia,679,1,-0.783,2,-0.580,2,-0.678,2,-0.495
59030169,British Columbia,608,1,-0.785,3,-0.246,3,-0.343,1,-1.057
59030170,British Columbia,694,1,-0.957,3,-0.229,1,-0.823,3,-0.411
59030171,British Columbia,428,1,-0.888,2,-0.477,2,-0.487,2,-0.526
59030172,British Columbia,816,1,-0.894,4,-0.014,3,-0.008,1,-0.793
59030173,British Columbia,377,1,-0.948,4,0.169,1,-1.083,3,-0.308
59030174,British Columbia,423,1,-0.849,5,0.304,4,0.527,3,-0.227
59030175,British Columbia,618,1,-0.780,5,0.426,5,0.614,3,-0.431
59030176,British Columbia,802,1,-0.920,3,-0.119,4,0.380,1,-0.767
59030177,British Columbia,487,1,-0.818,2,-0.573,5,0.669,1,-0.903
59030178,British Columbia,735,2,-0.751,4,0.143,5,1.100,3,-0.156
59030179,British Columbia,73,2,-0.751,4,0.091,5,0.771,3,-0.236
59030180,British Columbia,422,3,-0.531,3,-0.137,4,0.404,3,-0.375
59030181,British Columbia,366,2,-0.658,4,0.039,5,0.668,5,0.895
59030182,British Columbia,389,2,-0.630,5,0.775,3,-0.171,4,0.337
59030183,British Columbia,439,2,-0.772,5,0.525,5,0.595,4,0.254
59030184,British Columbia,397,2,-0.751,4,0.091,2,-0.502,4,0.378
59030185,British Columbia,441,3,-0.164,5,0.641,4,0.465,4,0.341
59030186,British Columbia,357,1,-0.881,3,-0.253,3,-0.221,3,-0.308
59030187,British Columbia,923,1,-0.991,4,0.253,3,0.042,2,-0.546
59030188,British Columbia,535,2,-0.566,3,-0.204,4,0.183,2,-0.556
59030189,British Columbia,466,3,-0.432,3,-0.203,5,0.954,1,-0.907
59030190,British Columbia,636,3,-0.490,4,-0.025,5,0.575,4,0.185
59030191,British Columbia,654,2,-0.694,2,-0.418,3,-0.018,4,0.194
59030192,British Columbia,755,1,-0.841,1,-0.778,2,-0.354,1,-0.877
59030193,British Columbia,901,1,-0.930,1,-0.857,3,-0.179,2,-0.640
59030194,British Columbia,628,1,-0.825,1,-0.622,2,-0.657,2,-0.593
59030195,British Columbia,602,1,-0.878,1,-0.630,4,0.258,1,-0.925
59030197,British Columbia,723,1,-0.873,1,-0.854,3,-0.331,2,-0.632
59030198,British Columbia,453,1,-1.017,2,-0.444,5,0.639,2,-0.579
59030199,British Columbia,581,2,-0.745,5,0.330,3,0.015,3,-0.285
59030200,British Columbia,652,2,-0.766,5,0.867,5,1.614,4,0.351
59030201,British Columbia,477,1,-0.922,4,0.181,5,0.725,3,-0.311
59030202,British Columbia,510,1,-0.802,5,0.773,5,0.931,2,-0.634
59030203,British Columbia,525,2,-0.672,5,0.375,4,0.115,3,-0.401
59030204,British Columbia,513,2,-0.752,3,-0.261,4,0.250,3,-0.442
59030205,British Columbia,560,2,-0.636,4,-0.012,4,0.420,2,-0.697
59030206,British Columbia,112,1,-0.934,5,3.924,3,-0.350,4,0.464
59030207,British Columbia,418,1,-0.811,4,-0.007,5,1.528,2,-0.548
59030208,British Columbia,649,2,-0.615,4,0.087,5,1.015,3,-0.182
59030209,British Columbia,564,2,-0.722,3,-0.267,5,2.069,3,-0.435
59030210,British Columbia,586,2,-0.767,5,0.447,5,2.183,4,0.705
59030211,British Columbia,437,2,-0.660,5,0.485,5,2.361,4,-0.008
59030212,British Columbia,569,2,-0.737,3,-0.216,5,0.804,4,0.354
59030213,British Columbia,869,1,-0.844,3,-0.196,5,1.158,3,-0.156
59030214,British Columbia,309,1,-0.784,5,0.271,5,1.335,4,-0.048
59030215,British Columbia,626,1,-0.862,3,-0.230,5,0.982,4,0.013
59030216,British Columbia,464,2,-0.658,5,0.610,5,1.628,5,0.836
59030217,British Columbia,539,2,-0.747,4,0.073,5,1.281,3,-0.154
59030218,British Columbia,139,3,-0.400,5,1.263,5,1.181,4,0.365
59030219,British Columbia,401,1,-0.826,3,-0.315,5,0.682,2,-0.675
59030220,British Columbia,681,2,-0.753,3,-0.359,5,0.713,2,-0.647
59030221,British Columbia,374,3,-0.535,5,0.300,5,1.083,2,-0.562
59030222,British Columbia,885,2,-0.588,5,0.437,5,1.280,2,-0.714
59030223,British Columbia,647,3,-0.546,5,0.722,5,0.680,3,-0.418
59030224,British Columbia,569,2,-0.756,4,-0.088,5,0.902,1,-0.814
59030225,British Columbia,420,2,-0.698,5,0.514,5,1.466,3,-0.296
59030226,British Columbia,509,2,-0.771,3,-0.315,5,0.987,3,-0.446
59030227,British Columbia,446,2,-0.649,4,0.055,5,2.084,2,-0.709
59030228,British Columbia,472,3,-0.545,4,-0.082,5,1.913,3,-0.281
59030229,British Columbia,401,1,-0.785,1,-0.680,5,2.075,2,-0.501
59030230,British Columbia,557,3,-0.563,4,0.180,5,1.139,2,-0.543
59030231,British Columbia,442,1,-0.779,1,-0.694,5,1.484,1,-0.751
59030232,British Columbia,435,1,-0.815,4,0.178,4,0.468,2,-0.498
59030233,British Columbia,408,1,-0.850,2,-0.458,5,0.931,2,-0.543
59030234,British Columbia,331,2,-0.761,3,-0.198,4,0.388,4,-0.080
59030235,British Columbia,670,2,-0.747,4,0.005,3,-0.251,3,-0.157
59030237,British Columbia,459,1,-0.904,5,0.560,5,0.701,3,-0.311
59030238,British Columbia,358,3,-0.391,5,1.129,5,1.087,2,-0.570
59030239,British Columbia,474,2,-0.657,5,0.634,5,1.570,4,0.246
59030241,British Columbia,528,2,-0.693,5,0.328,5,0.742,3,-0.288
59030242,British Columbia,293,1,-0.830,5,0.530,5,3.345,4,-0.101
59030243,British Columbia,349,2,-0.701,5,0.496,5,2.793,2,-0.712
59030244,British Columbia,496,1,-0.820,2,-0.461,5,0.822,2,-0.645
59030246,British Columbia,465,1,-0.858,2,-0.380,4,0.457,3,-0.379
59050062,British Columbia,503,3,-0.513,5,0.334,4,0.272,5,0.725
59050063,British Columbia,581,1,-0.921,4,0.057,5,0.996,3,-0.353
59050064,British Columbia,634,2,-0.736,5,0.893,5,2.222,3,-0.212
59050065,British Columbia,676,1,-0.868,4,-0.076,5,0.691,1,-0.948
59050066,British Columbia,541,1,-0.784,2,-0.427,5,2.049,1,-0.853
59050067,British Columbia,625,2,-0.683,4,0.080,5,1.347,3,-0.319
59050068,British Columbia,455,2,-0.762,5,0.369,5,1.054,4,0.096
59050069,British Columbia,475,2,-0.719,4,0.018,5,0.562,4,-0.016
59050070,British Columbia,582,1,-0.906,2,-0.512,5,1.293,3,-0.262
59050071,British Columbia,435,2,-0.755,5,0.430,4,0.509,4,0.518
59050072,British Columbia,529,2,-0.657,5,0.662,5,1.344,4,-0.060
59050073,British Columbia,724,1,-0.866,4,0.137,5,1.055,4,-0.121
59050074,British Columbia,673,1,-0.819,4,0.027,5,1.627,1,-0.761
59050075,British Columbia,812,1,-0.857,3,-0.337,4,0.518,3,-0.296
59050076,British Columbia,560,1,-0.781,4,-0.091,5,1.101,2,-0.669
59050077,British Columbia,400,1,-0.916,2,-0.543,5,0.667,2,-0.621
59050078,British Columbia,351,1,-0.778,5,0.278,5,1.640,3,-0.425
59050079,British Columbia,473,2,-0.737,4,0.147,5,1.058,1,-0.845
59050080,British Columbia,722,1,-0.960,3,-0.174,4,0.346,1,-0.906
59050081,British Columbia,562,2,-0.645,3,-0.223,2,-0.374,4,0.029
59050082,British Columbia,665,3,-0.498,4,0.159,3,-0.092,4,0.048
59050083,British Columbia,537,2,-0.713,1,-0.821,2,-0.504,2,-0.692
59050084,British Columbia,659,2,-0.679,1,-0.936,2,-0.465,2,-0.687
59050085,British Columbia,489,3,-0.458,3,-0.302,3,0.033,4,0.557
59050086,British Columbia,807,1,-0.869,2,-0.520,1,-0.975,1,-0.943
59050087,British Columbia,672,3,-0.557,3,-0.265,4,0.463,3,-0.394
59050088,British Columbia,381,1,-0.961,2,-0.581,4,0.521,3,-0.204
59050089,British Columbia,666,1,-0.826,3,-0.135,4,0.095,2,-0.715
59050090,British Columbia,628,2,-0.726,5,0.802,4,0.067,4,0.312
59050091,British Columbia,422,1,-0.838,4,-0.006,5,0.909,4,0.074
59050092,British Columbia,524,2,-0.597,5,1.220,4,0.222,4,0.580
59050093,British Columbia,631,2,-0.756,5,0.973,4,0.481,4,0.285
59050094,British Columbia,476,2,-0.733,5,1.615,5,1.255,5,1.176
59050095,British Columbia,510,1,-0.782,5,0.426,5,0.866,4,-0.128
59050096,British Columbia,857,3,-0.472,5,0.754,5,1.023,4,0.081
59050097,British Columbia,564,1,-0.896,2,-0.450,3,-0.026,2,-0.596
59050098,British Columbia,695,3,-0.539,4,-0.037,5,0.704,4,0.110
59050099,British Columbia,578,1,-0.940,2,-0.514,4,0.128,2,-0.674
59050100,British Columbia,885,1,-0.800,2,-0.479,5,1.476,4,0.258
59050101,British Columbia,513,1,-0.964,2,-0.382,4,0.380,1,-0.846
59050102,British Columbia,486,1,-0.876,2,-0.602,4,0.460,1,-0.959
59050103,British Columbia,462,1,-0.892,2,-0.610,4,0.526,1,-0.836
59050105,British Columbia,647,1,-0.942,2,-0.587,5,1.838,1,-0.796
59050106,British Columbia,720,1,-0.988,2,-0.430,4,0.455,1,-0.772
59050108,British Columbia,521,1,-0.927,4,0.238,3,-0.152,4,0.498
59050109,British Columbia,392,1,-1.061,1,-0.805,1,-0.982,2,-0.595
59050110,British Columbia,498,1,-0.881,3,-0.180,4,0.259,2,-0.713
59050111,British Columbia,442,1,-0.916,3,-0.312,5,0.604,2,-0.587
59050112,British Columbia,630,2,-0.575,4,0.241,5,2.502,2,-0.507
59050113,British Columbia,751,2,-0.722,4,0.115,3,-0.143,1,-0.774
59050114,British Columbia,284,1,-0.812,4,0.245,5,1.433,3,-0.252
59050115,British Columbia,888,1,-0.832,3,-0.282,3,-0.067,2,-0.691
59050118,British Columbia,481,1,-0.797,3,-0.153,4,0.305,2,-0.701
59070135,British Columbia,456,1,-0.864,1,-0.645,5,1.309,1,-0.758
59070136,British Columbia,404,2,-0.656,5,0.289,5,1.205,2,-0.487
59070137,British Columbia,462,2,-0.753,5,1.004,5,1.557,4,0.453
59070139,British Columbia,386,1,-0.965,4,0.064,4,0.485,4,0.688
59070140,British Columbia,874,1,-0.793,5,0.453,5,1.023,4,0.035
59070141,British Columbia,494,2,-0.773,2,-0.523,5,0.581,2,-0.677
59070142,British Columbia,529,1,-1.006,4,0.136,4,0.123,4,0.067
59070145,British Columbia,478,1,-0.896,4,0.093,5,0.756,1,-1.028
59070146,British Columbia,481,2,-0.709,2,-0.556,5,2.898,3,-0.484
59070147,British Columbia,58,2,-0.733,5,3.366,4,0.372,4,-0.121
59070148,British Columbia,83,1,-0.794,5,3.540,4,0.117,2,-0.596
59070149,British Columbia,733,1,-0.847,5,0.602,5,1.767,4,0.215
59070151,British Columbia,490,3,-0.456,5,0.670,5,1.045,3,-0.343
59070152,British Columbia,524,3,-0.548,3,-0.284,5,0.779,1,-0.958
59070153,British Columbia,676,2,-0.605,4,0.042,5,1.743,4,-0.108
59070154,British Columbia,771,2,-0.581,5,0.464,5,2.286,3,-0.207
59070155,British Columbia,466,3,-0.234,5,0.598,5,1.275,2,-0.525
59070156,British Columbia,58,1,-0.974,5,2.895,3,-0.240,2,-0.605
59070157,British Columbia,560,4,-0.088,5,0.332,5,0.944,3,-0.482
59070158,British Columbia,80,1,-1.057,5,2.627,5,0.936,2,-0.647
59070160,British Columbia,439,4,0.245,2,-0.482,2,-0.399,1,-1.255
59070161,British Columbia,340,3,-0.513,4,-0.054,5,1.282,4,0.217
59070162,British Columbia,522,2,-0.723,1,-0.727,5,1.035,1,-0.861
59070163,British Columbia,619,4,0.054,4,0.039,4,0.438,4,-0.085
59070164,British Columbia,587,4,-0.030,3,-0.225,5,0.662,4,0.173
59070165,British Columbia,719,4,0.022,4,-0.110,5,1.262,4,0.701
59070166,British Columbia,582,2,-0.699,3,-0.157,5,2.297,4,0.597
59070167,British Columbia,533,2,-0.601,4,0.218,3,0.001,3,-0.241
59070168,British Columbia,399,2,-0.661,3,-0.221,5,1.938,3,-0.356
59070169,British Columbia,725,1,-0.822,1,-0.810,5,2.237,2,-0.690
59070170,British Columbia,448,3,-0.336,4,-0.028,4,0.541,1,-0.875
59070171,British Columbia,485,2,-0.582,3,-0.367,5,0.834,3,-0.423
59070172,British Columbia,652,1,-0.870,2,-0.507,5,1.283,3,-0.413
59070173,British Columbia,535,2,-0.733,3,-0.288,4,0.455,3,-0.231
59070174,British Columbia,608,1,-0.890,2,-0.402,5,0.715,3,-0.388
59070175,British Columbia,448,1,-0.907,1,-0.817,4,0.465,2,-0.631
59070176,British Columbia,482,1,-0.846,4,0.243,5,0.581,4,0.405
59070177,British Columbia,356,1,-0.858,4,0.144,5,0.742,1,-1.165
59070178,British Columbia,575,2,-0.679,1,-0.797,4,0.186,2,-0.606
59070180,British Columbia,461,1,-0.940,1,-0.928,5,0.789,1,-1.128
59070181,British Columbia,821,2,-0.716,3,-0.292,4,0.152,1,-1.044
59070182,British Columbia,325,2,-0.667,1,-0.627,4,0.479,1,-1.324
59070183,British Columbia,575,1,-0.886,2,-0.439,4,0.466,1,-1.018
59070184,British Columbia,581,3,-0.369,1,-0.665,5,1.390,2,-0.666
59070185,British Columbia,476,1,-0.868,1,-0.788,4,0.372,2,-0.515
59070186,British Columbia,615,1,-0.790,2,-0.601,3,-0.096,3,-0.281
59070187,British Columbia,356,1,-0.806,2,-0.575,5,1.633,3,-0.411
59070188,British Columbia,515,1,-0.781,3,-0.216,5,0.920,2,-0.740
59070189,British Columbia,549,2,-0.631,3,-0.252,5,3.286,4,0.637
59070190,British Columbia,335,1,-0.816,5,0.676,5,2.370,5,1.999
59070191,British Columbia,407,2,-0.612,3,-0.164,4,0.419,3,-0.140
59070192,British Columbia,608,1,-0.822,4,0.009,5,1.347,4,0.282
59070193,British Columbia,559,1,-0.916,1,-0.689,2,-0.643,3,-0.340
59070194,British Columbia,551,1,-0.819,4,-0.097,3,-0.256,2,-0.555
59070195,British Columbia,485,2,-0.664,4,-0.065,5,0.754,4,-0.021
59070196,British Columbia,547,1,-0.818,2,-0.406,5,1.865,3,-0.169
59070197,British Columbia,612,2,-0.713,1,-0.907,5,2.125,2,-0.512
59070198,British Columbia,540,1,-0.913,3,-0.174,4,0.241,1,-0.889
59070199,British Columbia,414,2,-0.678,3,-0.310,3,-0.055,1,-0.901
59070200,British Columbia,272,1,-0.922,1,-0.916,3,-0.225,2,-0.679
59070201,British Columbia,407,3,-0.371,2,-0.602,4,0.132,2,-0.589
59070202,British Columbia,488,1,-0.880,4,0.033,2,-0.402,2,-0.514
59070203,British Columbia,743,2,-0.759,3,-0.258,3,-0.222,3,-0.394
59070204,British Columbia,464,2,-0.744,1,-0.643,3,-0.039,2,-0.608
59070205,British Columbia,407,1,-0.877,2,-0.374,1,-0.742,1,-0.800
59070206,British Columbia,761,2,-0.734,3,-0.300,5,1.010,1,-0.776
59070207,British Columbia,325,1,-1.311,1,-1.506,5,9.738,2,-0.534
59070208,British Columbia,370,3,-0.561,5,0.802,5,0.707,4,0.670
59070209,British Columbia,321,1,-0.871,5,0.796,5,1.121,5,1.310
59070210,British Columbia,317,2,-0.679,5,0.775,4,0.395,4,0.425
59070211,British Columbia,368,1,-0.820,5,0.258,1,-0.772,5,1.378
59070212,British Columbia,613,3,-0.562,5,1.117,4,0.371,5,2.184
59070213,British Columbia,370,1,-0.855,5,0.310,5,3.245,5,2.906
59070214,British Columbia,770,2,-0.638,3,-0.286,3,-0.187,5,1.513
59070215,British Columbia,559,2,-0.708,5,0.366,5,2.662,5,2.700
59070216,British Columbia,410,2,-0.702,5,0.471,5,0.914,4,0.178
59070217,British Columbia,414,2,-0.639,1,-0.701,2,-0.396,2,-0.641
59070218,British Columbia,298,1,-0.801,5,0.703,2,-0.705,5,1.185
59070219,British Columbia,455,3,-0.326,1,-0.731,2,-0.595,2,-0.674
