PRCDDA,Province,Dissemination area (DA) Population,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores,Economic dependency Quintiles,Economic dependency Scores,Residential instability Quintiles,Residential instability Scores
59330061,British Columbia,420,2,-0.658,5,0.374,5,1.940,5,0.987
59330062,British Columbia,410,2,-0.610,5,1.861,2,-0.490,5,1.170
59330063,British Columbia,484,2,-0.694,5,2.011,4,0.325,5,2.466
59330064,British Columbia,388,1,-0.980,4,0.203,1,-0.836,4,0.374
59330065,British Columbia,515,3,-0.544,5,0.510,3,-0.304,5,1.443
59330066,British Columbia,513,2,-0.728,5,0.726,3,-0.193,4,0.522
59330067,British Columbia,444,3,-0.519,5,1.259,4,0.049,5,1.271
59330068,British Columbia,585,3,-0.293,5,0.800,5,1.595,5,0.917
59330069,British Columbia,476,3,-0.466,5,1.110,4,0.216,4,0.630
59330070,British Columbia,366,3,-0.445,5,0.500,4,0.283,4,0.447
59330071,British Columbia,450,3,-0.245,5,2.021,2,-0.720,5,1.719
59330072,British Columbia,350,2,-0.640,3,-0.127,1,-0.753,4,0.003
59330073,British Columbia,805,1,-0.781,4,0.104,5,2.480,5,1.984
59330074,British Columbia,611,2,-0.633,5,1.405,5,0.789,5,1.707
59330075,British Columbia,435,2,-0.681,5,0.913,3,0.027,4,0.081
59330076,British Columbia,464,2,-0.681,5,0.485,3,-0.164,3,-0.189
59330077,British Columbia,498,3,-0.285,5,1.748,3,-0.340,5,1.249
59330078,British Columbia,772,4,0.142,5,0.749,3,-0.164,4,0.090
59330079,British Columbia,650,3,-0.457,4,0.017,4,0.214,3,-0.219
59330080,British Columbia,511,3,-0.422,5,1.011,1,-0.785,5,1.180
59330081,British Columbia,334,2,-0.768,5,0.354,2,-0.603,3,-0.219
59330082,British Columbia,820,1,-0.809,5,0.719,4,0.124,4,0.455
59330083,British Columbia,505,1,-0.831,4,-0.038,2,-0.675,4,0.259
59330084,British Columbia,458,2,-0.675,5,0.417,5,0.876,5,1.242
59330085,British Columbia,382,2,-0.730,4,0.111,4,0.168,3,-0.251
59330086,British Columbia,558,2,-0.704,4,0.076,1,-0.778,3,-0.398
59330087,British Columbia,430,2,-0.708,3,-0.258,2,-0.402,3,-0.213
59330088,British Columbia,542,1,-0.818,5,0.608,2,-0.582,4,0.148
59330089,British Columbia,661,1,-0.777,2,-0.415,3,-0.265,1,-0.976
59330090,British Columbia,538,1,-0.895,2,-0.387,2,-0.351,1,-0.759
59330091,British Columbia,789,2,-0.764,3,-0.112,4,0.277,2,-0.625
59330092,British Columbia,536,1,-0.821,5,0.739,2,-0.735,4,0.435
59330093,British Columbia,677,2,-0.758,3,-0.148,3,-0.001,1,-1.005
59330094,British Columbia,612,1,-0.951,3,-0.291,4,0.351,2,-0.598
59330095,British Columbia,1377,1,-0.849,3,-0.273,2,-0.511,3,-0.439
59330096,British Columbia,299,1,-0.960,5,0.336,5,2.409,3,-0.366
59330097,British Columbia,535,1,-0.911,5,0.830,3,0.038,4,0.136
59330098,British Columbia,495,2,-0.722,3,-0.211,4,0.143,3,-0.151
59330099,British Columbia,647,3,-0.155,4,-0.013,5,0.845,4,0.089
59330100,British Columbia,452,3,-0.225,5,0.281,2,-0.697,4,0.336
59330101,British Columbia,410,2,-0.724,5,0.422,3,-0.273,3,-0.408
59330102,British Columbia,431,2,-0.671,5,0.590,3,-0.102,4,0.156
59330103,British Columbia,528,2,-0.656,4,0.175,4,0.331,3,-0.451
59330104,British Columbia,467,2,-0.762,5,0.527,2,-0.462,4,0.388
59330105,British Columbia,623,1,-0.847,5,0.355,3,-0.014,4,-0.002
59330106,British Columbia,657,1,-0.816,3,-0.175,2,-0.676,1,-0.858
59330107,British Columbia,335,1,-0.812,2,-0.454,3,-0.073,1,-1.006
59330108,British Columbia,1109,2,-0.585,2,-0.511,4,0.201,2,-0.529
59330109,British Columbia,2806,2,-0.720,2,-0.598,2,-0.601,3,-0.364
59330110,British Columbia,340,1,-0.848,3,-0.159,3,-0.348,3,-0.436
59330114,British Columbia,852,3,-0.425,2,-0.378,5,1.206,5,1.144
59330115,British Columbia,493,2,-0.742,3,-0.313,1,-1.544,4,0.641
59330116,British Columbia,499,1,-0.850,3,-0.164,1,-1.121,4,-0.113
59330117,British Columbia,474,3,-0.514,3,-0.165,3,-0.138,3,-0.241
59330118,British Columbia,566,2,-0.664,4,0.096,5,0.576,5,2.082
59330121,British Columbia,589,2,-0.586,3,-0.114,5,0.716,5,1.969
59330122,British Columbia,575,2,-0.752,5,0.931,5,2.873,5,3.143
59330123,British Columbia,499,1,-0.919,3,-0.262,3,-0.197,4,0.100
59330124,British Columbia,452,1,-0.962,3,-0.136,1,-1.475,4,0.590
59330126,British Columbia,776,1,-0.945,2,-0.603,3,-0.006,2,-0.744
59330128,British Columbia,561,2,-0.628,1,-0.968,3,-0.242,1,-1.208
59330129,British Columbia,697,3,-0.315,3,-0.294,2,-0.731,2,-0.542
59330130,British Columbia,688,1,-0.824,1,-0.847,1,-0.803,1,-1.210
59330131,British Columbia,430,2,-0.643,4,-0.103,1,-1.351,3,-0.168
59330133,British Columbia,396,1,-0.912,1,-0.795,4,0.436,4,0.156
59330134,British Columbia,630,1,-0.833,2,-0.529,3,-0.116,1,-0.966
59330135,British Columbia,337,2,-0.567,2,-0.407,3,-0.159,2,-0.680
59330136,British Columbia,396,1,-0.796,1,-0.742,5,0.872,2,-0.535
59330137,British Columbia,429,2,-0.758,1,-0.844,4,0.259,1,-0.966
59330138,British Columbia,440,1,-0.843,1,-0.810,2,-0.497,1,-1.077
59330140,British Columbia,438,1,-0.901,3,-0.350,5,0.798,4,0.454
59330141,British Columbia,368,1,-0.982,3,-0.283,4,0.262,5,1.124
59330142,British Columbia,603,1,-0.827,1,-0.719,3,0.000,3,-0.258
59330143,British Columbia,315,1,-0.788,4,0.211,3,-0.305,3,-0.477
